id,text
363e3b8e,"I think these are reasonable, and should protect you from lawyering. Should I go ahead and add this?"
562e6449,No problem. Have you heard anything new about HRE?
7be45211,"Hello. I was just wondering, is it really fair to delete an unintentional duplication of a deleted category without a formal CFD submission?"
5c9c392a,You just added it again. Maybe you should look over the guidelines for inclusion of the tag?
84921122,"Hi Leonard G., I just read through your RFA including your reform proposals. Could you take a look at <url>, a proposal I have developed which would give just the rollback tool to people who request it?"
bccdeeea,"Why have you included the Putnam Line in the MTA infobox, when it was never operated by the MTA (excepting the Marble Hill stub, which is hardly on a par with the Hudson Line, Harlem Line, etc.)?"
ef0e8b0f,Could you please block me indefinitely. If you can't then what do I need to do to get blocked indefinitely?
e8d03de4,"Hi, Matt. Aren't you supposed to be banned?"
f10d3eb2,Many thanks for the review. So what was the truce term ''you'' used when little then?
5ffb2729,"Not to worry. What's ""D.M.""?"
c2fb159a,"Hi, I noticed <url> of yours, claiming a <url> violation. Mind explaining that?"
66793a7a,"I have never seen anything which says that warning levels should begin anew each day. <url> says that warning templates ""are listed at right in order of severity, but need not be used in succession."" If there is another policy somewhere, could you show it to me?"
0bf14fc1,"Remember we had the whole edit warring on Edelsten article a while back? I find it curious that a recently created account posted this <url> as their first contribution basically supporting Edelsten's personal website (which when you look would hardly pass <url>, I looked it at this site a while back in research and found some of the positive claims could not be verified) and wanting a complete rewrite of the article... sound familiar?"
88e4ae50,"Hey, I just went ahead and reverted <url>. I was wondering if you wanted your userpage semi-protected to prevent that happening in the future?"
117ac45f,"p.s. I'd be right that you're a supporter of corporal punishment, I presume?"
01ba00b0,"No, I don't know of any way to measure the number of visitors to articles.  Perhaps someone on the <url> can answer your question?"
790d229b,Thanks for your reply. I've tried to incorporate the references into the article; how is it now?
ebf5c20e,"Thanks for the redirect help!  Is that something I can do myself in the future, or is that an admin thing?"
ae3d5ef2,To me these two bits of TeX look identical after they're rendered.  Can you explain the advantage of the latter format (since you've made a point of changing from the first to the second form in some articles)?
289d8ef9,Cheers!  Don't suppose you have a link.....?
b13dedd7,"Just a question about the maintenance categories that FemtoBot automatically creates each month: I've noticed that the bot is frequently forced to recreate old, long-deleted monthly categories in the <person> queue, because an article got reverted to an old version for one reason or another and resulted in the old category being temporarily repopulated again. I'm just putting this forward as an idea for discussion, and am certainly not wedded to it u2014 but just to keep things simpler for everyone, I wonder what you would think about the feasibility and/or desirability of recoding the bot so that when it encounters a repopulated old maintenance category, it would retag the article to the ''current'' month instead of recreating the old one?"
dfea7e7a,"Thank you, I was wondering what type of unit this was. Civil Defence, some kind of police squad, or perhaps even Freikorps?"
06cba839,"Greetings, and thank you for your cogent remarks at <url>.  Would you be interested in voting in the straw poll <url> as well?"
979e86d9,"I'm sorry, but I don't see the edit if you're referring to the <url> article.  Are you referring to something else?"
e59b8e9c,"Seeing you back on Wikipedia after a long time. How are you doing, and is everyone you know safe?"
48f4684d,Your bot takes zh:u514bu91ccu65afu6258u5f17xb7u6885u7b56u723eu5fb7 off of the Christoph Metzelder page. What exactly is wrong with it?
e4a44d63,Hmm. Over?
6278c9a0,"I am reluctant to mention this, but having your paragraph in bold on <url> seems to me to be a bit self-promotional and unfair to the other members. Is there any chance that I might be able to persuade you to voluntarily unbold it?"
5c35e490,"Hi I noticed that you changed the category at <url> from ""People from Alabama"" to ""People from Elmore County, Alabama"". Is this appropriate, as Opothleyahola was dead for three years before Elmore county had been organized and had been forcibly removed from the area more than thirty years before?"
fb975599,"Even worse: ""The authorized use of this data is limited to informational and educational purposes only, and NOT for operational or commercial purposes."" This clearly disqualifies the text for Wikipedia purposes, I'm afraid we'll have to delete the article. Do you know of any similar contributions you've made?"
4fc8b834,<url>! Shall we greet him as he deserves?
579d4370,"Gee, thanks. But shouldn't it be a barnstar for '''''bad''''' humor, or maybe for the humor ""phlegm""?"
358919de,"<url> is having <url> spelling ""<url>"".  Perhaps you could help?"
7459b1f9,"These are my numbers: 7 years in Wikipedia, 6 years as an admin, 570+ articles, 4 featured articles, 1 featured list, 21 Good articles, 60 DYK's - After six years as an admin. I recently made some mistakes and I can understand if I am placed in some type of probation were I am monitored and forbidden to use my tools maybe for a year, but do I really merit the removal of my adminship?"
ae27e67e,"""''Images with iconic status or historical importance: As subjects of commentary.''"". Listen, it's just trivial to look up, could you take the care of actually reading these policies before arguing over them?"
3136d053,"In terms of suitability for an article, as I understand it, Merrill's ""claim to notice"" is due to the company (work done by SOM, size of SOM, etc), and also because of the important changes he made to that company. Is that roughly correct?"
002100c9,Hi John. Do you have any more edits to make before I start the merge?
dc0c34b3,So it seems we both already know the problems with the current logo and the SVG one. What can I do to help you?
4bdf287f,You have given your point by point rebuttals to my reasons several times. How can you say I haven't provided my reasoning?
a12aeabf,Perhaps you can help me. How do I view the status of a vandalism report I've made?
5fa86e1d,Links to attack sites and so are not allowed. You must know that you violated BLP?
179f9d7c,I'm not sure what you mean by pointing out that votes were placed before the version you created. Could you elaborate?
ddc72d02,"Thanks. Can you leave a comment at <url>, saying you are the creator?"
7fd293a7,"Since working on the article you wrote, I have become fascinated with this band.  Is any of their music availabe online?"
ea858a71,"Just an FYI, I replied at FPOC. How many lists would you prefer?"
3f997b9f,I'm curious as to why you chose to <url> a full two minutes after my last comment?  Am I to take this as a sign you are no longer willing to discuss the issue?
fceafba6,Stephen's solution certainly isn't optimal. Fancy giving me a basic rundown on the problem here and I'll see if I can devise a more elegant one?
c8c44d0d,"While browsing wikipedia for missing pages to write i saw it on your things to do list. Assuming he's a poet, do you mean <url>?"
741f94f7,"I have also put speedy delete tags on <url> and <url>.  Was there any particular reason to move your user/user talk pages to that name, and back again?"
aaa9ca0a,"The block seems to no longer be necessary or productive. If I were to bring a motion to get them unblocked, would you support it?"
b4fc123b,"Okay. What, exactly, can I do about that?"
c1b35c7d,"At first I couldn't see it, but now that I've taken a closer look I see what you mean.  Now, I wonder, who was the first most decorated PR soldier in WW II?"
2b6c30f5,"That's a <url>-length rant. Still, be nice and AGF, okay?"
b55461b3,I enjoyed your comments on the 'Road to Serfdom' article. I wonder if you know if anyone has offered a reading of the book as a satire of the bourgeois-administrative-pseudo-capitalist state?
a16b5831,Thanks. Anything else?
7bd65dac,"What is your source for the PD Seantors? There is no news on RTE, ireland.com or the PD website?"
63167f4e,"It was nominated for speedy deletion because he wasn't notable. However, if I undelete the page, will you improve the article and be able to provide decent sources to help his notability?"
b3d64e7e,"The reason given on the <nowiki><person></nowiki> tag (''""Non-notable book promo""'') seems to have nothing at all to do with the article. Is this on the correct article?"
aa85a4c9,"I'm sorry, but I don't see the value in having different criteria for two versions of the same list, one sorted by name and one sorted by nationality. Every other list and article on space travel uses the altitude definition, why would the sub-list sorted by nationality be different?"
9b6b80fd,Sorry to not reply earlier regarding Deathrockeru2014I've been away. Has the situation calmed?
bcd162ff,"I have no need to search the interwebs, all that matters is it offends people and is a violation of NPOV and MoS. ""All Wikipedia articles and other encyclopedic content must be written from a neutral point of view (NPOV), representing fairly and without bias all significant views (that have been published by reliable sources)"" - ess-eff is a bias term for a minority group of fans, put it this way: is there an SF-channel, or how often is the clichxe9 ess-eff used outside fan-groups?"
1785e2c9,"One more thing if you want, let's talk on the Seinfeld talk page. I think I am taking up your talk page so let's talk there instead, ok?"
f9cec11e,I noticed that you have a little note at the top saying your status. How do you do that?
01400f60,"If you're talking about the Recycling Troll, I've never blocked him. Why do you think I have?"
d131dc21,"On reflection it's up for GA peer review, preparatory to trying for FAC. Would you care to <url>?"
5d88105d,When we have a GLAM barnstar then you get it ..... just for the Hindi article! I cannot explain why you needed to create a Derby page in Hindi - surely it should be there already?
f31a7892,"So your argument is that as long as you follow the ""rules,"" nothing else should matter? That if it's legal it's OK?"
1b21bef2,Thanks for the cleanup.  Why did you delink the songs and Weird Al's album?
a7cb47c4,"Since this person made a sincere attempt to discuss the page, and the page in his opinion was relevent, you can remove this warning from his talk page? In the spirit of <url>, perhaps?"
b85d5934,"I see you have been creating lots of articles on bus stations on the <url>. Considering how little information there is (and is likely to be) for these stations, would it not be better to have them all on one article?"
9505a49e,"<url> - I removed a see-also to a link placed by a COI-editor pointing to a topic about himself, which duplicated an existing link on the same topic.  Exactly what is <em>your</em> reason for the template on my user page?"
da13ef6f,"Thanks. Before I use, is there are way to deny the bot only within a portion of an article rather than the entire article?"
bbd3b9c2,Thanks for adding that ref to <url>. I don't suppose your copy of Conway's says anything about the roles and fates of ''Schleswig-Holstein'' or ''Schleisen''?
5464f574,"No, I didn't know that. Where does this ""rule"" come from?"
1107febe,"Thanks. As an aside, since this did turn out to be factual, just very hard to source, do you think the community would countenance an unblock request from Blaabla if he accepted some strict unblock conditions (such as packing in the 'systemic bias' thing, discussing his edits in a less confrontational manner etc)?"
e5ad1039,"Owing to your status as an active wikipedian, I'm not yet reverting your edit to this article.  But what sense is it to move his birth location from the birthdate position in line one, to the top of (a newly formed) paragraph 2 which then (continues from the former paragraph 1 subject) takes off on a subject entirely unrelated to his birth?"
5dc3b6c4,I assume you like to play '''U.S.''' billiards bottom right corner?
044b214c,Title says it all.<url> I dont have time to put up a page... but might I suggest <url>?
da83ffb9,"Greetings, sorry to bother you here... I have been using the MissingTopics tool for years, to generate <url> The last time I used it successfully was Nov 16.  Something must have changed in the algorhythms since then, because it will no longer read any page starting with an Amharic character... Is it broke?"
10b2bfc0,"I'm usually polite, but this one seemed to need a slap across the face. It's ... words escape me .. mindboggling... jaw-dropping ... ?"
3c1b6cf0,"That sounds fine. When does the drive end: at the start of August 13 or at the end, and according to which timezone?"
8333af61,Calling all changes for vandalism just because you don't agree with them is NOT the way to explain why you reverts edits. May I suggest that you actually learn what vandalism actually means before you use the word?
63737d87,u2013 Use that dash my friend. How are you geting on?
fc73517a,I am not equally confident about this pinning one: <person>. Hector again?
5703380c,"I actually know nothing about karate, but you look to be doing a good job with your work, and I'm just here to say sorry really that some of your articles got deleted. Which artiles got deleted?"
1e1087e7,"Ah well, if you are going to have such a bizarre flight of fancy as far as to calling it an attack page then perhaps I will remove it. Maybe you should also look at how you interact with others?"
6fbd1b92,"It was closed as ""no consensus, default to keep"".  What difference does it make?"
30690777,"It may very well have been a better candidate for a stub rather than a speedy deletion. I would rather not talk about this on another users talk page, if you would like to discuss if further could we continue any further posts on <url>?"
8d39abe8,"Thank You. What is ""The Prince of Santorini"" anyway?"
4505c194,"Thanks for readjusting the <url> remarks on stationsby - I must confess I'm not that much into Danish history, so my edit contained some guesswork... thanks for correcting me. Do I understand correctly that a Stationsby would not be the station that originaly is intended for a town further away, around which then a new town grows up?"
4d28565d,It's on the talkpage - you are deleting like crazy. I can ask for a Cabral if you like?
c791b42c,"Regarding <url>: <url> seems to say the exact opposite (that links on a dab page should ''not'' be through redirects). The page is at <url>, so shouldn't that be how it's linked on the dab page?"
9e465f8f,"I started working on missing translations of news titles inside citations, but discovered that square brackets leave an ugly residue, while round ones may not be optimal, since they clash visually with the ""language"" ones. Would it be acceptable to just use the English version as title?"
c10ad200,"An excellent news, indeed! I don't have time to have a look at it right now (busy with the fr FA), but do they have something on Gndevank?"
f30b8aa9,I wasn't sure what you mean by making the title a clickable link. Can you show me how to do that?
988edce4,Im sorry to see that you withdrew. Maybe next time?
7f842cd2,How can a permablocked user edit? And who would set up a sockpuppet months in advance?
db0d7724,Can I send you a video? Or possibly some stills?
ac5b02d3,"Would you  know what the difference is between 'computing by Operating systems' and 'operating systems""?  Not obvious to me, why not just eliminate it and add the computing category to the operating systems category page?"
0c85116d,"Hi reinyday - I've been noticing your sig on WP:CFD... this is probably something you know all about but... you do know about being able to use four tildes (<nowiki>~~~~</nowiki>) to sign, don't you? Or have you done some fancy trick with your signature to stop it linking back to your user page?"
7d9fb294,"Don't worry about it. Take it easy, keep the ranting to a minimum and the productive editing to a maximum :) And you're still not convinced you should get an account?"
14ed921a,"Hi, hopefully I will have the <url> ''wonderful-joy-of-a-job'' task done by tomorrow so will be able to join you with the infobox-adding task thereafter. Do you have a method, or is it just A &ndash; Z?"
0f486a0d,I'm curious how you justify your removal of a link to the Washington Blade newspaper website in the <url> article<url>. The Blade is a valid media outlet - a newspaper dating back to 1969. Is there some bias at work?
487814b7,You removed posts by me as well.  Do you have any explanation?
cc7446dd,"Most of the editors who would care about the deletion of KiK's threads are the ones who would agree with him, so it's pointless to warn them.  Hell ... come to think of it, hasn't KiK been all over their talk pages, with them high-fiving each other?"
5df0aace,"Thanks very much indeed! :-) I don't suppose you'd fancy having a deadlink trawl over at <url>, would you?"
c24e4805,Either <url> is really misinterpreting the guidelines or I missed out on something. Care to shed light here?
28166c88,What City in Connecticut do you live in? And have you been to the north as your name suggests?
2d32b279,"I pretty much agree with <url>, except I would like to know why you modified the see also section to be a hatnote. Doesn't <url> have specific requirements for this?"
ab59e480,Not trying to pick a fight - a user that reverts all articles to a version by you is suspect. Any New Year's resolutions Will?
3c35e086,Hello???  Are you just pretending I don't exist?
7b90395b,Bureaucrats require a higher level of trust than administrators. Are you actually familiar with what these tasks entail?
728e69ef,"Can you explain what you mean by ''""Randi, paranormal, Larry King etc. are all redundant redundant""''?"
7a863181,"When I wrote <url> I was not quite sure if it was a synonym of <url>, and hence did not perform a merge. Could you clarify if they are indeed the same, and if so whether we should merge the articles?"
a3128fb5,"Regarding our WikiProject discussion about airport naming, I am unsure about Wiki etiquette - should I edit your sandbox with links indicating the common name (i.e. airport even though it's an aerodrome) or should I list them on my own talk page?"
2acd6e4c,"Hey, thanks for your contributions here :). Would you mind referencing them to conform with wiki-policy?"
190bcd67,"I had an editorial dispute with a user called <url><, but I'm not responding to him anymore as it seems to escalate into heated arguments. If he keeps messaging, would it be ok if I got back in touch with you and you had a word with him?"
ccaae7c6,"Not that I know of, but it's probably time it was. Want to start a discussion somewhere?"
b0cb3eaa,I'm afraid I don't understand what you are asking. Could you perhaps try to explain it in another way?
c27c526f,Do you mean article edits with sock puppets? Could you give me more precise examples?
f1cc5397,"Hi Dirk. Does the two books you cited for the heavy Belgian <url> losses have any info of how many Gladiators the Belgians lost, and perhaps what losses they incurred on the Germans?"
1bb5245c,OK done. When do I get my money?
c58fe6bb,"Well, lyrics are generally frowned upon on Wikipedia, unless the song is old enough that its copyright no longer applies. Could you perhaps link to the article?"
95ad95ce,Thank you very much for your kind comments but I don't recall if or when I made these contributions. Are you sure it was me?
9706d49c,"You're right, but loosing it because of Devanampriya, of all users, would be quite a shame for Wikipedia. Don't we have to make a stand against ignorance, partisan POV-pushing and constant incivility?"
171fa698,Are you crazy down here?! What the heck is going on?
c5b44331,"Your comment about ""the additions were left intact as a courtesy"" sounds a bit strange to me. Maybe you should read <url>?"
3725ba65,E-mail me at <url> (just get rid of the spaces in between the letters and numbers) whenever you feel like it. By the way are you a member on any Iranian football forums online?
9028fbf3,"Good one for the beginning. Is it possible to paint, say, red color an area between the null line and the curve below it, and blue (or green) an area between the null line and the curve above it?"
e682ea4e,"How can anyone analyze the page if you keep deleting the content? <url> 01:28, 18 December 2006 (UTC)  Are you afraid someone might vote for it?"
a99a2c0f,"You again speak of ""the probability of interest"", whereas I made it clear that either there is only one probability of interest, and hence it cannot depend on the door numbers, or there are several probabilities of interest, all with the same value, and hence independent of the numbers of the doors. Don't you understand this?"
9f35a1f2,"Hi, StuRat. Do you want to participate in <url>?"
ceceaf26,"I'm not finding the name change request at <url>, nor does there appear to be such an edit under the ""Rogerboas"" account name. Did you posti t while logged out, perhaps?"
7dc795d9,"#I am still convinced the long page on ""prostatitis"" (a misnomer in the case of CPPS) is confusing, with too many sections and subsections, and would benefit from restructuring and the creation of separate pages for each area, or at the very least the removal of the CPPS section to its own, in depth page. You were the only editor to object to this going ahead, with this comment: ""So, suggest keep this on hold for now, but in principle one might similarly split off other classification categories with this then just umbrella simple introduction."" Do you still hold this view?"
eda1a788,"On another note, I'm going to assume that you were the one who also added ridership data for various LIRR stations, am I correct? If so, could you kindly point me towards your source?"
7754fb86,I wasn't aware my statement was supposed to cause worry.  Is there something I'm missing?
e8abb7c4,"I aggree... river name then ""River"". Do you think that since it's a list of rivers in China we should use the Chinese name and the international norm name too?"
5c04b101,No problem. Have you seen the <url> article?
499e0f23,"This is what you wrote: ""In the book 'Inventing Elliot' written by Graham Gardener, the book, 1948 is mentioned numerous times."" What book, 1948??"
f78f3014,"Hi, I wanted to ask what do you follow to create redirects on this <url>??"
2fcf01c9,"I read his note, and you should know that as I responded to it and then you responded to me. So where did the doubt come in regarding that matter?"
6508d393,"Maybe you should consider a user name change? To, say, ""Sarah 'The Hammer' Ewart""?"
e95aa1c5,"Hello Glacier109, I am contacting you because in golf they put Money not Winnings as the standard on most leaderboards used at the end of tournaments.  I am just wondering why you selected the word winnings?"
e5e18be7,I see that you are becoming a little bit paranoid. Do i need to do a check user for you ?
12af4174,A challenge for you! What do you think about creating a template for convoys and a list of convoys?
dc66555d,"I believe you wanted to find out which party the PP was? Well i'm sure you'll be able to find it at http://elections.uwa.edu.au/partysearch.lasso - my guess is that it could be the Progress Party, who ran in the 1977 WA HoR election?"
eb8bd958,"He's doing it again, removing Lauren's ""bottom 2"" placing (<url>).  I just reverted him but maybe we need to file something at AN/I ?"
c06e19ac,"Why was <url> deleted when it was simply a crop of <url> which is public domain? I'm pretty sure I wrote that on the description page, but if not, can it be restored?"
5150dd50,"The article is not about this, at all. Could you explain your logic?"
01b4d5b9,"Opps, how come your archive links to the article's talk page archive? I'm going to fix it for you, ok?"
402d6863,I think it is important to note that Spirit 03 was the last gunship to be brought down and that it has not been involved in a Class A mishap since that date. Should we include that?
09d18e24,Well? Shall I request outside assistance?
c058dc86,I don't understand why Hong is so reluctant to revert unilateral changes from time-to-time when he did so frequently in the past when I or someone else who supported my edits did it. What exactly is the point in me agreeing to this if someone conveniently comes along and then starts making lots of changes that I don't like but Giovanni doesn't mind?
39931e42,Don't worry I understand. Using igloo I assume?
9dc987a4,"All is good here, hopefully the same with yourself.  How many English first-class cricketer you think we've got to get done in total?"
d11aa729,"Die Person, die Probleme macht, ist jetzt in Schwierigkeiten. Vielleicht seit langem?"
526a0903,"And ""...definitions..."".  What do you mean by ""...definitions...""?"
7098c562,Can you take a look at the article <url> and the conversation going on at <url> (that should probably be moved to the article talk page).  Your thoughts on the most recent commentary?
36dca300,You are very welcome. Isn't it great we can all create a better world?
52e367e1,<url> is brand new and may need some attention. I thought you might be just the person who can help get that article at least secured against SPOD-attacks?
dcb31a58,"Testing, testing, 1,2, 3, are you still alive? Where are you?"
9378ca31,"Wanted to Email you about Wikimedia Converence Netherlands, but your email is not working. In any case, you could crash at our place?"
18fc9723,"I'm loathe to come running to an admin, but Gregcaletta is just making the same edits that I had undone before and made objection to on the talk page without any attempt to address the previous objections on the talk page. Now what?"
fcf93d0a,"Ok, many thanks for that. I'm not sure how reliable that 2nd group are - it has <url> but what about all his dinner-guests?"
0268e410,I have just put the article to peer review. Would you care to take a look?
2ca6eb7b,"The Birr page looks good now... but, it seems a little strange to make a distinction between Abyssinia and Ethiopia, as if they were two different entities.  The native name was ''ityoppya'' (Ethiopia) long before 1931; in that year, the Emperor formally requested the international community to begin using Ethiopia instead of Abyssinia, much as the Shah, around the same time, requested the use of ""Iran"" instead of ""Persia"" for his country (and it was also around this time that Siam became Thailand, I believe...) Anyway, it might make more sense for one box reading ""Abyssinia / Ethiopia"" in place of the two separate boxes...?"
235a859a,There.  Better?
57c18078,"Hey Dan, I see you around but we haven't talked in a bit. What are you up to these days?"
4f39f2f9,"SE, I've briefly blocked your bot because I see it's changing embedded links to footnotes again, against <url>. Did you discuss with anyone that you were doing this, or get permission to use it?"
bc8f2fea,I restored the lead picture series I like. What do you think?
52eda905,Would you mind doing the same for <url>?
37e91a7e,"Tom, that article is ready for publication, was written by someone else, and your changes aren't improving it.  Did MER-C ask you to work on it?"
ab5a5ffe,Is there any way I could talk you into being more conservative with creation of new articles?  Do you agree that some of what you're creating here would be seen as obviously deletable material by most editors?
413a6ae5,<url> reminded me of a report I want to file about Asad. May I?
32a9f472,I have one last question about the SPI I filed et al. before I put this ugly chapter of my time here behind me; should the <url> sock not be tagged with <code><nowiki><person></nowiki></code>?
f395c93d,There's no tab at the top of the page with a bold EDIT THIS PAGE on it. Is it just my computer?
5d0a6819,"Just wondering, is there any reason why you removed categories from a number of articles and replaced them with the non-existend <url>. Wouldn't <url> have been the better choice, which, as it appears, is a category you yourself created a few days ago?"
70799e9b,"I am not familiar with the credit card / porn star identity incident you mentioned in AnonEMouse's RFA, but I would like to take a closer look at it.  Could you provide some more direct diffs related to Mouse's involvment?"
38745a2c,"Katy, good buddy.  Is <url> your lost article?"
69cc4f8d,"Having said that, I don't want to drive anyone away just because they can't write well. The question is, where do you begin?"
649bcec8,Noticed your comments on the <url> talk page. What bands/styles are you into?
4a835c47,There is a very nice moving picture at <url> which illustrates the bisection method. Can we get it for our version?
b58c302f,"4. I had once felt that the Euroleague, Italian and Greek leagues were the top leagues. If I were to choose selected European leagues from this page <url>, do you have any thoughts on which ones are important?"
a9452d56,"""Odder"" in what sense? Also, why are you still delaying?"
027385c7,"Correcting an article to remove mention of something that ''was made up here in Wikipedia'' and does not exist in any formal definition of the article's subject is a furtherance of the <url> policy, not vandalism.  Are you interested in knee-jerk reverting, or in actually making your encyclopedia correct and accurate?"
cb63ae4c,I replied to you <url> but you didn't answer. Did you not see it?
1cf4e264,Kidding about what?  Are there no reliable sources?
4b9dd5f1,You are welcome. Do i correctly understand that you plan to use the <url> account as your primary account from now on?
32a65739,"Actually, I counted 2 sets of <url>.  Can he be blocked for 48 hours?"
2c4f8234,I had to revert another one <url>. How about that protection?
ac4fc80a,I say - are you a sort of picture finder? You couldn't find one of John Bowlby could you?
